company_id,company_name,type,patent_count
29b8f534-149e-443c-b76b-3c4a222da89c,International Business Machines Corporation,2.0,4748
533e0469-baac-46b7-9576-669db08092eb,"SAMSUNG DISPLAY CO., LTD.",3.0,4617
906da649-dd98-4eac-a78c-d5dc3cc385b1,LG ELECTRONICS INC.,3.0,1640
dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA,3.0,1584
55715b8e-9037-47c9-8e27-a2acf13d6047,Intel Corporation,2.0,1345
f03635c8-6b6c-4f2b-bb6c-b52678f56aae,QUALCOMM Incorporated,2.0,1119
d530b05a-2539-4dbe-aa54-027b4ab9be0b,"Microsoft Technology Licensing, LLC",2.0,1100
55bc7465-2823-418d-9835-41d555c610a6,SONY GROUP CORPORATION,3.0,1089
88c962da-6df3-4f86-85ba-14c24c3cb600,"Taiwan Semiconductor Manufacturing Company, Ltd.",3.0,1070
38cff6e0-fc52-4faf-9fa9-b72912600dee,Apple Inc.,2.0,1049
87bbd77e-54e0-4d95-9c1b-7843963c09eb,TOYOTA JIDOSHA KABUSHIKI KAISHA,3.0,997
a7c6a1f8-8ea9-4e47-8a97-26606969523c,"Yoder Brother, Inc.",2.0,995
048b2efe-1ff2-4857-9bbc-18422f0f1910,GOOGLE LLC,2.0,989
ee19b405-e8a2-4bfe-8aa1-9f8fe50d3be7,"Amazon Technologies, Inc.",2.0,899
17db0f8d-78c8-443c-8a9d-e402df66def0,"BOE Technology Group Co., Ltd.",3.0,860
b904f566-62d6-44a5-8689-7b5c5a3a1a19,General Electric Company,2.0,859
8a03b7d9-0444-4dfc-9737-bf029c47a462,"FORD GLOBAL TECHNOLOGIES, LLC",2.0,852
66e2c62e-301f-42e2-a6de-b62c87f792e5,"HUAWEI TECHNOLOGIES CO., LTD.",3.0,763
877b4262-7552-45e3-adc3-c484b3095cf3,SEIKO EPSON CORPORATION,3.0,753
74c11be2-20ec-49fe-ac26-d839d375bd32,MITSUBISHI ELECTRIC CORPORATION,3.0,728
